,question,Actual Abstract,Predicted Abstract,Answer
81,When did Percy Brereton Colquhoun die?,"Percy Brereton Colquhoun (28 September 1866 – 23 October 1936) was an Australian parliamentarian, lawyer and sportsman.","Percy Brereton Colquhoun (28 September 1866 – 23 October 1936) was an Australian parliamentarian, lawyer and sportsman.",23 October 1936
82,Name an Australian cricketer who played for Tasmania from 1971 until 1979?,Anthony John Benneworth (12 December 1950 – 10 March 2018) was an Australian cricketer who played for Tasmania from 1971 until 1979.,Anthony John Benneworth (12 December 1950 – 10 March 2018) was an Australian cricketer who played for Tasmania from 1971 until 1979.,Anthony John Benneworth
83,"Who is Sir Francis ""Frank"" Joseph Edmund Beaurepaire?","Sir Francis ""Frank"" Joseph Edmund Beaurepaire (13 May 1891 – 29 May 1956) was an Australian distance freestyle swimmer from the 1900s to the 1920s, who won three silver and three bronze medals, from the 1908 Summer Olympics in London to the 1924 Summer Olympics in Paris, setting 15 world records.","Since 1969 He has worked in family business Francis Chichester Ltd (publishers of maps, guides and educational wallcharts), founded by his father Sir Francis Chichester KBE, and still lives in the family home at 9 St James's Place, London SW1.",his father
84,Name a Canadian lawyer and politician who served as the 17th prime minister of Canada?,"John Napier Wyndham Turner  (born June 7, 1929) is a Canadian lawyer and politician who served as the 17th prime minister of Canada from June 30 to September 17, 1984.","John Napier Wyndham Turner  (born June 7, 1929) is a Canadian lawyer and politician who served as the 17th prime minister of Canada from June 30 to September 17, 1984.",John Napier Wyndham Turner
85,"When was Ravinder ""Ravi"" Kahlon born?","Ravinder ""Ravi"" Kahlon (born May 15, 1979 in Victoria, British Columbia) is a Canadian politician and field hockey player.","Ravinder ""Ravi"" Kahlon (born May 15, 1979 in Victoria, British Columbia) is a Canadian politician and field hockey player.","May 15, 1979"
86,"Who is Michael Patrick ""Mickey"" Hennessy?","Michael Patrick ""Mickey"" Hennessy (August 8, 1915 — March 5, 1991) was a boxer and politician in Ontario, Canada.","Michael Patrick ""Mickey"" Hennessy (August 8, 1915 — March 5, 1991) was a boxer and politician in Ontario, Canada.",a boxer
87,Name a former Canadian Senator for British Columbia and a champion alpine skier voted as Canada's Female Athlete of the 20th Century.,"Nancy Catherine Greene Raine  (born May 11, 1943) is a former Canadian Senator for British Columbia and a champion alpine skier voted as Canada's Female Athlete of the 20th Century.","Nancy Catherine Greene Raine  (born May 11, 1943) is a former Canadian Senator for British Columbia and a champion alpine skier voted as Canada's Female Athlete of the 20th Century.",Nancy Catherine Greene Raine
88,Name a  Canadian sportsman and a military commander who served in both World War I and II?,"Major-General Hardy Nelson Ganong CBE, VD, ED (Apr 18, 1890 - February 24, 1963) was a Canadian sportsman and a military commander who served in both World War I and II.","Major-General Hardy Nelson Ganong CBE, VD, ED (Apr 18, 1890 - February 24, 1963) was a Canadian sportsman and a military commander who served in both World War I and II.",Major-General Hardy Nelson Ganong
89,Who is Maria Michelle Fitzpatrick?,"Maria Michelle Fitzpatrick (born February 18, 1949) is a Canadian politician who was elected in the 2015 Alberta general election to the Legislative Assembly of Alberta representing the electoral district of Lethbridge-East.","Maria Michelle Fitzpatrick (born February 18, 1949) is a Canadian politician who was elected in the 2015 Alberta general election to the Legislative Assembly of Alberta representing the electoral district of Lethbridge-East.",a Canadian politician
90,Name a Canadian politician and the seventh Lieutenant Governor of Nova Scotia?,"Sir Malachy Bowes Daly  (February 6, 1836 – April 26, 1920) was a Canadian politician and the seventh Lieutenant Governor of Nova Scotia.","Sir Malachy Bowes Daly  (February 6, 1836 – April 26, 1920) was a Canadian politician and the seventh Lieutenant Governor of Nova Scotia.",Sir Malachy Bowes Daly
91,Name a a Canadian professional football player and politician?,"Emery Oakland Barnes, OBC (December 15, 1929 – July 1, 1998) was a Canadian professional football player and politician.","Emery Oakland Barnes, OBC (December 15, 1929 – July 1, 1998) was a Canadian professional football player and politician.",Emery Oakland Barnes
92,When did Sir Arthur Alexander Priestley die?,Sir Arthur Alexander Priestley (9 November 1865 – 10 April 1933) was an English Liberal Party politician and cricketer.,Sir Arthur Alexander Priestley (9 November 1865 – 10 April 1933) was an English Liberal Party politician and cricketer.,10 April 1933
93,"Name a  British businessman, civil servant, publisher, politician and spelling reformer?","Sir Isaac James Pitman, KBE (14 August 1901 – 1 September 1985) was a British businessman, civil servant, publisher, politician and spelling reformer.","Sir Isaac James Pitman, KBE (14 August 1901 – 1 September 1985) was a British businessman, civil servant, publisher, politician and spelling reformer.",Sir Isaac James Pitman
94,Who is William Saunders Sebright Lascelles PC?,William Saunders Sebright Lascelles PC (29 October 1798 – 2 July 1851) was a British Whig politician.,William Saunders Sebright Lascelles PC (29 October 1798 – 2 July 1851) was a British Whig politician.,a British Whig politician
95,Name a Northern Ireland Ulster Unionist Party politician?,Clifford Forsythe (25 August 1929 – 27 April 2000) was a Northern Ireland Ulster Unionist Party politician.,Clifford Forsythe (25 August 1929 – 27 April 2000) was a Northern Ireland Ulster Unionist Party politician.,Clifford Forsythe
96,Name a Welsh international rugby union wing who won two caps for the Wales national rugby union team?,"David Evans George ""Ewan"" Davies (23 June 1887 – 2 September 1979) was a Welsh international rugby union wing who won two caps for the Wales national rugby union team.","David Evans George ""Ewan"" Davies (23 June 1887 – 2 September 1979) was a Welsh international rugby union wing who won two caps for the Wales national rugby union team.","David Evans George ""Ewan"" Davies"
97,Who is Daniel Alan Byles FRGS?,"Daniel Alan Byles FRGS (born 24 June 1974) is a British politician, ocean rower, polar adventurer, mountaineer, and sailor.","Daniel Alan Byles FRGS (born 24 June 1974) is a British politician, ocean rower, polar adventurer, mountaineer, and sailor.","a British politician, ocean rower, polar adventurer, mountaineer, and sailor."
98,Who was the earliest of three stallions that were the founders of the modern Thoroughbred horse racing bloodstock?,"The Byerley Turk (c. 1680 – c. 1706), also spelled Byerly Turk, was the earliest of three stallions that were the founders of the modern Thoroughbred horse racing bloodstock (the other two are the Godolphin Arabian and the Darley Arabian).","The Byerley Turk (c. 1680 – c. 1706), also spelled Byerly Turk, was the earliest of three stallions that were the founders of the modern Thoroughbred horse racing bloodstock (the other two are the Godolphin Arabian and the Darley Arabian).",The Byerley Turk
99,When was Arthur Henry Bromley-Davenport born?,"Arthur Henry Bromley-Davenport (29  October 1867 – 15 December 1946), better known as A. Bromley Davenport, was an English actor born in Baginton, Warwickshire, England, UK.Bromley-Davenport made appearances in at least 77 films for television and cinema between 1920 and 1944.","Arthur Henry Bromley-Davenport (29  October 1867 – 15 December 1946), better known as A. Bromley Davenport, was an English actor born in Baginton, Warwickshire, England, UK.Bromley-Davenport made appearances in at least 77 films for television and cinema between 1920 and 1944.",29 October 1867
100,Name a manufacturer of firearms under the Harrington & Richardson and New England Firearms trademarks?,"H&R 1871, LLC (Harrington & Richardson) is a manufacturer of firearms under the Harrington & Richardson and New England Firearms trademarks.","H&R 1871, LLC (Harrington & Richardson) is a manufacturer of firearms under the Harrington & Richardson and New England Firearms trademarks.","H&R 1871, LLC"
101,Name a British aristocrat and polo player who styled as Earl of Sunderland until 2014?,"George John Godolphin Spencer-Churchill, Marquess of Blandford (born 28 July 1992), styled as Earl of Sunderland until 2014, is a British aristocrat and polo player.","George John Godolphin Spencer-Churchill, Marquess of Blandford (born 28 July 1992), styled as Earl of Sunderland until 2014, is a British aristocrat and polo player.","George John Godolphin Spencer-Churchill, Marquess of Blandford"
102,Who is Sir Francis Christopher Buchan Bland?,Sir Francis Christopher Buchan Bland (29 May 1938 – 28 January 2017) was a British businessman and politician.,Sir Francis Christopher Buchan Bland (29 May 1938 – 28 January 2017) was a British businessman and politician.,a British businessman and politician
103,When did William Henry Cavendish-Bentinck die?,"William Henry Cavendish-Bentinck  (14 September 1774 – 17 June 1839), known as Lord William Bentinck, was a British soldier and statesman.","William Henry Cavendish-Bentinck  (14 September 1774 – 17 June 1839), known as Lord William Bentinck, was a British soldier and statesman.",17 June 1839
104,Name an English amateur cricketer who played first-class cricket from 1820 to 1837 and a Whig politician?,Charles James Barnett (31 October 1796–31 December 1882) was an English amateur cricketer who played first-class cricket from 1820 to 1837 and a Whig politician who sat in the House of Commons from 1831 to 1835.,Charles James Barnett (31 October 1796–31 December 1882) was an English amateur cricketer who played first-class cricket from 1820 to 1837 and a Whig politician who sat in the House of Commons from 1831 to 1835.,Charles James Barnett
105,"Name a  professional Russian kickboxer, multiple world champion, social and political activist, member of the People's Khural of Kalmykia? ","Batu Sergeyevich Khasikov (Oirat: Хасгин Бату; Hasgin Batu; born June 28, 1980) is a professional Russian kickboxer, multiple world champion (ISKA, WAKO PRO, WKA and W5 K-1  World Champion, WAKO PRO European Champion), social and political activist, member of the People's Khural of Kalmykia (2008-2012) and representative for the Republic of Kalmykia in the Federation Council (2012-2014).","Batu Sergeyevich Khasikov (Oirat: Хасгин Бату; Hasgin Batu; born June 28, 1980) is a professional Russian kickboxer, multiple world champion (ISKA, WAKO PRO, WKA and W5 K-1  World Champion, WAKO PRO European Champion), social and political activist, member of the People's Khural of Kalmykia (2008-2012) and representative for the Republic of Kalmykia in the Federation Council (2012-2014).",Batu Sergeyevich Khasikov
106,"Name a Norwegian fencer, sports official and businessperson?","Hans Bergsland (15 November 1878 – 9 June 1956) was a Norwegian fencer, sports official and businessperson.","Hans Bergsland (15 November 1878 – 9 June 1956) was a Norwegian fencer, sports official and businessperson.",Hans Bergsland
107,Name a retired Dutch politician of the People's Party for Freedom and Democracy?,Erica Georgina Terpstra (born 26 May 1943) is a retired Dutch politician of the People's Party for Freedom and Democracy (VVD).,Erica Georgina Terpstra (born 26 May 1943) is a retired Dutch politician of the People's Party for Freedom and Democracy (VVD).,Erica Georgina Terpstra
108,Name a Northern Irish Unionist politician who served as Chairman of the Independent Unionist Association?,William McConnell Wilton was a Northern Irish Unionist politician who served as Chairman of the Independent Unionist Association.,William McConnell Wilton was a Northern Irish Unionist politician who served as Chairman of the Independent Unionist Association.,William McConnell Wilton
109,When did Augustine Mary Moore Stack die?,Augustine Mary Moore Stack (7 December 1879 – 27 April 1929) was an Irish revolutionary and politician.,Augustine Mary Moore Stack (7 December 1879 – 27 April 1929) was an Irish revolutionary and politician.,27 April 1929
110,Who is Grace O'Sullivan?,Grace O'Sullivan (born 8 March 1962) is an Irish politician who has been a Member of the European Parliament (MEP) from Ireland for the South constituency since July 2019.,Grace O'Sullivan (born 8 March 1962) is an Irish politician who has been a Member of the European Parliament (MEP) from Ireland for the South constituency since July 2019.,an Irish politician
111,Who is Donogh Brendan O'Malley?,"Donogh Brendan O'Malley (17 January 1921 – 10 March 1968) was an Irish Fianna Fáil politician and rugby union player who served as Minister for Education from 1966 to 1968, Minister for Health from 1965 to 1966 and Parliamentary Secretary to the Minister for Finance from 1961 to 1965.","He became known to a wider audience for his portrayal of Bill Weasley in the Harry Potter film series (2001–2011), along with his father Brendan Gleeson, who played Alastor Moody; Konstantin Levin in Anna Karenina (2012); Tim Lake in About Time (2013); and Russell Allen Phillips in the fact-based war drama Unbroken (2014).","his father Brendan Gleeson, who played Alastor Moody"
112,When was Bartholomew O'Keeffe born?,"Bartholomew O'Keeffe (born 2 April 1945) is a former Irish Fianna Fáil politician who served as Minister for Enterprise, Trade and Innovation from 2010 to 2011, Minister for Education and Science from 2008 to 2010, Minister of State for Housing and Urban Renewal from 2007 to 2008 and Minister of State for Environmental Protection from 2004 to 2007.","Paraskevi (""Voula"") Patoulidou (Greek: Παρασκευή ""Βούλα"" Πατουλίδου, born 29 March 1965) was born in Tripotamo (now part of Florina).",29 March 1965
113,"What is Paul James Grady, an English comedian, television presenter, actor, writer, radio host, producer, and former drag queen better known as?","Paul James Grady, MBE (born 14 June 1955), better known as Paul O'Grady, is an English comedian, television presenter, actor, writer, radio host, producer, and former drag queen.","Paul James Grady, MBE (born 14 June 1955), better known as Paul O'Grady, is an English comedian, television presenter, actor, writer, radio host, producer, and former drag queen.",Paul O'Grady
114,Who is Sir Henry George Hill Mulholland?,"Sir Henry George Hill Mulholland, 1st Baronet, PC DL (20 December 1888 – 5 March 1971) was a Northern Ireland politician.","Sir Henry George Hill Mulholland, 1st Baronet, PC DL (20 December 1888 – 5 March 1971) was a Northern Ireland politician.",a Northern Ireland politician
115,Name a a former association footballer and a politician who is Ireland's oldest public representative either side of the island's border?,Ian McGarvey (born July 1929) is a former association footballer and a politician who is Ireland's oldest public representative either side of the island's border.,Ian McGarvey (born July 1929) is a former association footballer and a politician who is Ireland's oldest public representative either side of the island's border.,Ian McGarvey
116,"What was James Larkin, an Irish republican, socialist and trade union leader sometimes known as?","James Larkin (21 January 1876 – 30 January 1947), sometimes known as Jim Larkin, was an Irish republican, socialist and trade union leader.","James Larkin (21 January 1876 – 30 January 1947), sometimes known as Jim Larkin, was an Irish republican, socialist and trade union leader.",Jim Larkin
117,When was Colm M. Hilliard born?,"Colm M. Hilliard (28 May 1936 – 14 January 2002) was an Irish Fianna Fáil politician who sat for fifteen years as Teachta Dála (TD) for Meath.He was first elected to Dáil Éireann at the February 1982 general election, replacing retiring Labour Party TD James Tully, and giving Fianna Fáil three out of five Meath seats in the 23rd Dáil.","Colm M. Hilliard (28 May 1936 – 14 January 2002) was an Irish Fianna Fáil politician who sat for fifteen years as Teachta Dála (TD) for Meath.He was first elected to Dáil Éireann at the February 1982 general election, replacing retiring Labour Party TD James Tully, and giving Fianna Fáil three out of five Meath seats in the 23rd Dáil.",28 May 1936
118,"Name an Irish poet, author, otolaryngologist, athlete, politician, and well-known conversationalist?","Oliver Joseph St John Gogarty (17 August 1878 – 22 September 1957) was an Irish poet, author, otolaryngologist, athlete, politician, and well-known conversationalist.","Oliver Joseph St John Gogarty (17 August 1878 – 22 September 1957) was an Irish poet, author, otolaryngologist, athlete, politician, and well-known conversationalist.",Oliver Joseph St John Gogarty
119,"When was Kenneth ""Kenny"" Egan born?","Kenneth ""Kenny"" Egan (born 7 January 1982) is an Irish politician and amateur boxer from Clondalkin, Dublin best known for winning a Silver Medal in the final of the 81 kg, Light-Heavyweight boxing final at the 2008 Olympics.","Kenneth ""Kenny"" Egan (born 7 January 1982) is an Irish politician and amateur boxer from Clondalkin, Dublin best known for winning a Silver Medal in the final of the 81 kg, Light-Heavyweight boxing final at the 2008 Olympics.",7 January 1982
120,Name a former Irish Fine Gael politician who served as Minister of State for the Diaspora from 2014 to 2016?,"Jimmy Deenihan (born 11 September 1952) is a former Irish Fine Gael politician who served as Minister of State for the Diaspora from 2014 to 2016, Minister for Arts, Heritage and the Gaeltacht from 2011 to 2014 and Minister of State at the Department of Agriculture, Food and Forestry from 1994 to 1997.","Jimmy Deenihan (born 11 September 1952) is a former Irish Fine Gael politician who served as Minister of State for the Diaspora from 2014 to 2016, Minister for Arts, Heritage and the Gaeltacht from 2011 to 2014 and Minister of State at the Department of Agriculture, Food and Forestry from 1994 to 1997.",Jimmy Deenihan
121,Who was Air Marshal Sir George Robert Beamish?,"Air Marshal Sir George Robert Beamish,  (29 April 1905 – 13 November 1967) was a senior commander in the Royal Air Force from the Second World War to his retirement in the late 1950s.","Air Marshal Sir George Robert Beamish,  (29 April 1905 – 13 November 1967) was a senior commander in the Royal Air Force from the Second World War to his retirement in the late 1950s.",a senior commander in the Royal Air Force
122,Who is Dermot Christopher Ahern?,"Dermot Christopher Ahern (born 20 April 1955) is an Irish former Fianna Fáil politician who served as Minister for Justice and Law Reform from 2008 to 2011, Minister for Foreign Affairs from 2004 to 2008, Minister for Communications, Marine and Natural Resources from 2002 to 2004, Minister for Social, Community and Family Affairs from 1997 to 2002 and Government Chief Whip and Minister of State at the Department of Defence from 1991 to 1992.","Dermot Christopher Ahern (born 20 April 1955) is an Irish former Fianna Fáil politician who served as Minister for Justice and Law Reform from 2008 to 2011, Minister for Foreign Affairs from 2004 to 2008, Minister for Communications, Marine and Natural Resources from 2002 to 2004, Minister for Social, Community and Family Affairs from 1997 to 2002 and Government Chief Whip and Minister of State at the Department of Defence from 1991 to 1992.",an Irish former Fianna Fáil politician
123,Who is Vasilis Papageorgopoulos?,"Vasilis Papageorgopoulos (Greek: Βασίλης Παπαγεωργόπουλος; born June 27, 1947) is a retired Greek sprinter, former mayor of Thessaloniki.","Vasilis Papageorgopoulos (Greek: Βασίλης Παπαγεωργόπουλος; born June 27, 1947) is a retired Greek sprinter, former mayor of Thessaloniki.","a retired Greek sprinter, former mayor of Thessaloniki"
124,Who is Maurice Bienvenu Jean Paul Trintignant?,"Maurice Bienvenu Jean Paul Trintignant (30 October 1917, in Sainte-Cécile-les-Vignes, Vaucluse – 13 February 2005, in Nîmes) was a motor racing driver and vintner from France.","Maurice Bienvenu Jean Paul Trintignant (30 October 1917, in Sainte-Cécile-les-Vignes, Vaucluse – 13 February 2005, in Nîmes) was a motor racing driver and vintner from France.",a motor racing driver and vintner from France
125,Name an Olympic champion and politician who won gold at the 1976 Summer Olympics in Montreal in the 110 m hurdles?,Guy Drut (born 6 December 1950) is an Olympic champion and politician who won gold at the 1976 Summer Olympics in Montreal in the 110 m hurdles.,Guy Drut (born 6 December 1950) is an Olympic champion and politician who won gold at the 1976 Summer Olympics in Montreal in the 110 m hurdles.,Guy Drut
126,Who is David Donald Hubert Roger Douillet?,David Donald Hubert Roger Douillet (French pronunciation: ​[david dɔnald ybɛʁ ʁɔʒe dujɛ]; born 17 February 1969) is a retired French judoka and politician.,David Donald Hubert Roger Douillet (French pronunciation: ​[david dɔnald ybɛʁ ʁɔʒe dujɛ]; born 17 February 1969) is a retired French judoka and politician.,a retired French judoka and politician
127,When was Juha Iisakki Mieto born?,"Juha Iisakki Mieto (born 20 November 1949) is a Finnish former cross-country skier, who was born in Kurikka.","Juha Iisakki Mieto (born 20 November 1949) is a Finnish former cross-country skier, who was born in Kurikka.",20 November 1949
128,Name a Finnish politician in the left-wing Finnish People's Democratic League?,Kuuno Ola Honkonen (1 March 1922 – 9 July 1985) was a Finnish politician in the left-wing Finnish People's Democratic League.,Kuuno Ola Honkonen (1 March 1922 – 9 July 1985) was a Finnish politician in the left-wing Finnish People's Democratic League.,Kuuno Ola Honkonen
129,Who is Chi Ling Dai Cheng?,"Chi Ling Dai Cheng (July 15, 1970 – April 13, 2013) was an American musician and poet, best known as the bassist and backing vocalist for the American alternative metal band Deftones.","Chi Ling Dai Cheng (July 15, 1970 – April 13, 2013) was an American musician and poet, best known as the bassist and backing vocalist for the American alternative metal band Deftones.",an American musician and poet
130,Name a former Sri Lankan cricketer and a former captain of the Sri Lankan national team?,Deshabandu Sanath Teran Jayasuriya (Sinhala: සනත් ටෙරාන් ජයසූරිය; born 30 June 1969) is a former Sri Lankan cricketer and a former captain of the Sri Lankan national team.,Deshabandu Sanath Teran Jayasuriya (Sinhala: සනත් ටෙරාන් ජයසූරිය; born 30 June 1969) is a former Sri Lankan cricketer and a former captain of the Sri Lankan national team.,Deshabandu Sanath Teran Jayasuriya
131,Name a Filipino former professional basketball player and television personality?,"Christopher John Alandy-Dy Tiu (born on July 15, 1985) is Filipino former professional basketball player and television personality.",Franz S. Pumaren is a Filipino former professional basketball player and coach.,Franz S. Pumaren
132,"Who is Alberto ""Bobby"" Dapidran Pacquiao?","Alberto ""Bobby"" Dapidran Pacquiao (born Alberto Mejia Pacquiao on April 23, 1980) is a Filipino former professional boxer.","Alberto ""Bobby"" Dapidran Pacquiao (born Alberto Mejia Pacquiao on April 23, 1980) is a Filipino former professional boxer.",a Filipino former professional boxer
133,"Name a Filipino politician, serving as mayor of the municipality of Bulakan, Bulacan?","Vergel Meneses (born January 14, 1969, Malolos, Bulacan) is a Filipino politician, serving as mayor of the municipality of Bulakan, Bulacan.","Vergel Meneses (born January 14, 1969, Malolos, Bulacan) is a Filipino politician, serving as mayor of the municipality of Bulakan, Bulacan.",Vergel Meneses
134,"What is Rosalio D. Martires,  a Filipino retired basketball player, actor and comedian also known as?","Rosalio D. Martires (born September 9, 1951), also known as Yoyong Martirez, is a Filipino retired basketball player, actor and comedian.","Rosalio D. Martires (born September 9, 1951), also known as Yoyong Martirez, is a Filipino retired basketball player, actor and comedian.",Yoyong Martirez
135,Name a Filipino journalist and politician who gained widespread attention as Mayor of Manila from 1952 to 1962?,"Arsenio H. Lacson (December 26, 1912 – April 15, 1962) was a Filipino journalist and politician who gained widespread attention as Mayor of Manila from 1952 to 1962.","Arsenio H. Lacson (December 26, 1912 – April 15, 1962) was a Filipino journalist and politician who gained widespread attention as Mayor of Manila from 1952 to 1962.",Arsenio H. Lacson
136,Name the 22nd and current Prime Minister of Pakistan and the chairman of the Pakistan Tehreek-e-Insaf?,Imran Ahmed Khan Niazi  (Urdu: عمران احمد خان نیازی‎; born 5 October 1952) is the 22nd and current Prime Minister of Pakistan and the chairman of the Pakistan Tehreek-e-Insaf (PTI).,Imran Ahmed Khan Niazi  (Urdu: عمران احمد خان نیازی‎; born 5 October 1952) is the 22nd and current Prime Minister of Pakistan and the chairman of the Pakistan Tehreek-e-Insaf (PTI).,Imran Ahmed Khan Niazi
137,"What is Syed Iftikhar Ali Bokhari, a Pakistani former politician and cricketer also known as?","Syed Iftikhar Ali Bokhari (born 6 July 1935 in Lahore), also known as IA Bokhari, is a Pakistani former politician and cricketer.","Syed Iftikhar Ali Bokhari (born 6 July 1935 in Lahore), also known as IA Bokhari, is a Pakistani former politician and cricketer.",IA Bokhari
138,"Name a former sumo wrestler from Aomori, Japan?","Hayateumi Hidehito (born July 5, 1975 as Naohito Saitō) is a former sumo wrestler from Aomori, Japan.","Hayateumi Hidehito (born July 5, 1975 as Naohito Saitō) is a former sumo wrestler from Aomori, Japan.",Hayateumi Hidehito
139,"Name a Japanese politician, former speed skater and track cycling sprinter?","Seiko Hashimoto (Japanese: 橋本 聖子, Hashimoto Seiko, born 5 October 1964) is a Japanese politician, former speed skater and track cycling sprinter.","Seiko Hashimoto (Japanese: 橋本 聖子, Hashimoto Seiko, born 5 October 1964) is a Japanese politician, former speed skater and track cycling sprinter.",Seiko Hashimoto
140,Who is Seyed Hamid Sajjadi Hazaveh?,"Seyed Hamid Sajjadi Hazaveh (Persian: سید حمید سجادی هزاوه‎, born 21 March 1969) is an Iranian retired middle distance and long distance runner.","Seyed Hamid Sajjadi Hazaveh (Persian: سید حمید سجادی هزاوه‎, born 21 March 1969) is an Iranian retired middle distance and long distance runner.",an Iranian retired middle distance and long distance runner
141,Name an Iranian wrestler who won Olympic bronze medals in 1992 and 1996?,"Amir Reza Khadem Azghadi (Persian: امیررضا خادم ازغدی‎, born February 10, 1970) is an Iranian wrestler who won Olympic bronze medals in 1992 and 1996.","Amir Reza Khadem Azghadi (Persian: امیررضا خادم ازغدی‎, born February 10, 1970) is an Iranian wrestler who won Olympic bronze medals in 1992 and 1996.",Amir Reza Khadem Azghadi
142,"Name an Iranian politician, who served as the minister of economic affairs and finance from 2008 to 2013?","Shamseddin Hosseini (born 1967) is an Iranian politician, who served as the minister of economic affairs and finance from 2008 to 2013.","Shamseddin Hosseini (born 1967) is an Iranian politician, who served as the minister of economic affairs and finance from 2008 to 2013.",Shamseddin Hosseini
143,Name a hockey player turned politician in India and belongs to the Indian National Congress in Punjab?,Pargat Singh (born 5 March 1965) is a hockey player turned politician in India and belongs to the Indian National Congress in Punjab.,Pargat Singh (born 5 March 1965) is a hockey player turned politician in India and belongs to the Indian National Congress in Punjab.,Pargat Singh
144,What is Maharaja Karni Singh ji also known as?,"Maharaja Karni Singh ji  (21 April 1924 – 6 September 1988) also known as  Dr Karni Singh, was from 1950 the last Maharaja of Bikaner State to hold the title of Maharaja of Bikaner, officially, till 1971, when the privy purse and all the royal titles were abolished by the Republic of India.","Maharaja Karni Singh ji  (21 April 1924 – 6 September 1988) also known as  Dr Karni Singh, was from 1950 the last Maharaja of Bikaner State to hold the title of Maharaja of Bikaner, officially, till 1971, when the privy purse and all the royal titles were abolished by the Republic of India.",Dr Karni Singh
145,When was Col. Rajyavardhan Singh Rathore born?,"Col. Rajyavardhan Singh Rathore, , (born 29 January 1970) is an Indian politician, Olympic medallist and retired Indian Army officer.","Col. Rajyavardhan Singh Rathore, , (born 29 January 1970) is an Indian politician, Olympic medallist and retired Indian Army officer.",29 January 1970
146,When did Manoharsinhji Pradyumansinhji Jadeja die?,Manoharsinhji Pradyumansinhji Jadeja (18 November 1935 – 27 September 2018) was an Indian nobleman and politician.,"He was scheduled to die by lethal injection at 9 p.m. on September 30, 2010, in California's first use of capital punishment since the lifting of a court-ordered moratorium.","September 30, 2010"
147,Who is Sachin Ramesh Tendulkar?,Sachin Ramesh Tendulkar ( (listen); born 24 April 1973) is an Indian former international cricketer and a former captain of the Indian national team.,Sachin Ramesh Tendulkar ( (listen); born 24 April 1973) is an Indian former international cricketer and a former captain of the Indian national team.,an Indian former international cricketer
148,Name a retired international footballer and an Arjuna Award Winner (1979)?,"Prasun Banerjee is a retired international footballer and an Arjuna Award Winner (1979) from Kolkata, India.","Prasun Banerjee is a retired international footballer and an Arjuna Award Winner (1979) from Kolkata, India.",Prasun Banerjee
149,Name a former cricketer who was the Member of Parliament in the Lok Sabha from Moradabad?,"Mohammad Azharuddin is an Indian politician,  former cricketer who was the Member of Parliament in the Lok Sabha from Moradabad.","Mohammad Azharuddin is an Indian politician,  former cricketer who was the Member of Parliament in the Lok Sabha from Moradabad.",Mohammad Azharuddin
150,When was Kirtivardhan Bhagwat Jha Azad born?,Kirtivardhan Bhagwat Jha Azad pronunciation  (born 2 January 1959) is a politician and former cricketer and who played 7 Tests and 25 ODIs for  India between 1980 and 1986.,Kirtivardhan Bhagwat Jha Azad pronunciation  (born 2 January 1959) is a politician and former cricketer and who played 7 Tests and 25 ODIs for  India between 1980 and 1986.,2 January 1959
151,Who is the president of the South African Football Association (SAFA)?,"Daniel Alexander ""Danny"" Jordaan (born 3 September 1951) is the president of the South African Football Association (SAFA).","Daniel Alexander ""Danny"" Jordaan (born 3 September 1951) is the president of the South African Football Association (SAFA).","Daniel Alexander ""Danny"" Jordaan"
152,Name a Canadian politician who has served as the 23rd prime minister of Canada since 2015?,"Justin Pierre James Trudeau  (, listen; French: [ʒystɛ̃ tʁydo]; born December 25, 1971) is a Canadian politician who has served as the 23rd prime minister of Canada since 2015 and has been the leader of the Liberal Party since 2013.","Justin Pierre James Trudeau  (, listen; French: [ʒystɛ̃ tʁydo]; born December 25, 1971) is a Canadian politician who has served as the 23rd prime minister of Canada since 2015 and has been the leader of the Liberal Party since 2013.",Justin Pierre James Trudeau
153,Name an Indian politician who was the President of the Indian National Congress from 16 December 2017 to 3 July 2019?,Rahul Gandhi (pronunciation  [ˈraːɦʊl ˈɡaːnd̪ʱiː]) (born 19 June 1970) is an Indian politician who was the President of the Indian National Congress from 16 December 2017 to 3 July 2019.,Rahul Gandhi (pronunciation  [ˈraːɦʊl ˈɡaːnd̪ʱiː]) (born 19 June 1970) is an Indian politician who was the President of the Indian National Congress from 16 December 2017 to 3 July 2019.,Rahul Gandhi
154,Name an Indian politician who served as the 7th Deputy Prime Minister of India from 2002 to 2004?,Lal Krishna Advani (born 8 November 1927) is an Indian politician who served as the 7th Deputy Prime Minister of India from 2002 to 2004 under Atal Bihari Vajpayee.,Lal Krishna Advani (born 8 November 1927) is an Indian politician who served as the 7th Deputy Prime Minister of India from 2002 to 2004 under Atal Bihari Vajpayee.,Lal Krishna Advani
155,Who was Avul Pakir Jainulabdeen Abdul Kalam?,Avul Pakir Jainulabdeen Abdul Kalam ( (listen); 15 October 1931 – 27 July 2015) was an aerospace scientist who served as the 11th President of India from 2002 to 2007.,Avul Pakir Jainulabdeen Abdul Kalam ( (listen); 15 October 1931 – 27 July 2015) was an aerospace scientist who served as the 11th President of India from 2002 to 2007.,an aerospace scientist
