question,Actual Abstract
"Name an Iranian politician, who served as the minister of economic affairs and finance from 2008 to 2013?","Shamseddin Hosseini (born 1967) is an Iranian politician, who served as the minister of economic affairs and finance from 2008 to 2013."
Name a hockey player turned politician in India and belongs to the Indian National Congress in Punjab?,Pargat Singh (born 5 March 1965) is a hockey player turned politician in India and belongs to the Indian National Congress in Punjab.
What is Maharaja Karni Singh ji also known as?,"Maharaja Karni Singh ji  (21 April 1924 – 6 September 1988) also known as  Dr Karni Singh, was from 1950 the last Maharaja of Bikaner State to hold the title of Maharaja of Bikaner, officially, till 1971, when the privy purse and all the royal titles were abolished by the Republic of India."
When was Col. Rajyavardhan Singh Rathore born?,"Col. Rajyavardhan Singh Rathore, , (born 29 January 1970) is an Indian politician, Olympic medallist and retired Indian Army officer."
When did Manoharsinhji Pradyumansinhji Jadeja die?,Manoharsinhji Pradyumansinhji Jadeja (18 November 1935 – 27 September 2018) was an Indian nobleman and politician.
Who is Sachin Ramesh Tendulkar?,Sachin Ramesh Tendulkar ( (listen); born 24 April 1973) is an Indian former international cricketer and a former captain of the Indian national team.
Name a retired international footballer and an Arjuna Award Winner (1979)?,"Prasun Banerjee is a retired international footballer and an Arjuna Award Winner (1979) from Kolkata, India."
Name a former cricketer who was the Member of Parliament in the Lok Sabha from Moradabad?,"Mohammad Azharuddin is an Indian politician,  former cricketer who was the Member of Parliament in the Lok Sabha from Moradabad."
When was Kirtivardhan Bhagwat Jha Azad born?,Kirtivardhan Bhagwat Jha Azad pronunciation  (born 2 January 1959) is a politician and former cricketer and who played 7 Tests and 25 ODIs for  India between 1980 and 1986.
Who is the president of the South African Football Association (SAFA)?,"Daniel Alexander ""Danny"" Jordaan (born 3 September 1951) is the president of the South African Football Association (SAFA)."
Name a Canadian politician who has served as the 23rd prime minister of Canada since 2015?,"Justin Pierre James Trudeau  (, listen; French: [ʒystɛ̃ tʁydo]; born December 25, 1971) is a Canadian politician who has served as the 23rd prime minister of Canada since 2015 and has been the leader of the Liberal Party since 2013."
Name an Indian politician who was the President of the Indian National Congress from 16 December 2017 to 3 July 2019?,Rahul Gandhi (pronunciation  [ˈraːɦʊl ˈɡaːnd̪ʱiː]) (born 19 June 1970) is an Indian politician who was the President of the Indian National Congress from 16 December 2017 to 3 July 2019.
Name an Indian politician who served as the 7th Deputy Prime Minister of India from 2002 to 2004?,Lal Krishna Advani (born 8 November 1927) is an Indian politician who served as the 7th Deputy Prime Minister of India from 2002 to 2004 under Atal Bihari Vajpayee.
Who was Avul Pakir Jainulabdeen Abdul Kalam?,Avul Pakir Jainulabdeen Abdul Kalam ( (listen); 15 October 1931 – 27 July 2015) was an aerospace scientist who served as the 11th President of India from 2002 to 2007.
"Name an Indian economist, academic, and politician who served as the 13th Prime Minister of India?","Manmohan Singh (Punjabi: [mənˈmoːɦən ˈsɪ́ŋɡ] (listen); born 26 September 1932) is an Indian economist, academic, and politician who served as the 13th Prime Minister of India from 2004 to 2014."
Name an Indian politician who served as the 13th President of India?,Pranab Mukherjee (born 11 December 1935) is an Indian politician who served as the 13th President of India from 2012 until 2017.
"Name an Indian politician serving as the 14th President of India, in office since 25 July 2017?","Ram Nath Kovind (born 1 October 1945) is an Indian politician serving as the 14th President of India, in office since 25 July 2017."
Name an Indian politician serving as the 14th and current Prime Minister of India?,Narendra Damodardas Modi (Gujarati pronunciation: [ˈnəɾendrə dɑmodəɾˈdɑs ˈmodiː] (listen); born 17 September 1950) is an Indian politician serving as the 14th and current Prime Minister of India since 2014.
Who is Pulloli Thomas Chacko?,Pulloli Thomas Chacko was a prominent politician of Travancore and later Kerala.
"What is Arackaparambil Kurien Antony, who was the 23rd Defence Minister of India better known as?","Arackaparambil Kurien Antony, better known as A. K. Antony (born 28 December 1940) is an Indian politician and attorney who was the 23rd Defence Minister of India and he was also the Chief Minister of Kerala."
When was Velikkakathu Sankaran Achuthanandan born?,Velikkakathu Sankaran Achuthanandan (born 20 October 1923) is a veteran Indian politician who was Chief Minister of Kerala from 2006 to 2011.
Who was the third Chief Minister of Kerala from 1962 to 1964?,R. Sankar (30 April 1909 – 7 November 1972) was the third Chief Minister of Kerala from 1962 to 1964.
Name an Indian politician who is the current Chief Minister of Kerala?,"Pinarayi Vijayan (born 24 May 1944 in Pinarayi) is an Indian politician who is the current Chief Minister of Kerala, serving since 25 May 2016."
Name an English composer and impresario of musical theatre?,"Andrew Lloyd Webber, Baron Lloyd-Webber (born 22 March 1948) is an English composer and impresario of musical theatre."
What is Sir Edward Richard George Heath often known as?,"Sir Edward Richard George Heath  (9 July 1916 – 17 July 2005), often known as Ted Heath, was a British politician who served as Prime Minister of the United Kingdom from 1970 to 1974 and Leader of the Conservative Party from 1965 to 1975."
Name a British Conservative politician who served as Prime Minister of the United Kingdom from 1957 to 1963?,"Maurice Harold Macmillan, 1st Earl of Stockton,  (10 February 1894 – 29 December 1986) was a British Conservative politician who served as Prime Minister of the United Kingdom from 1957 to 1963."
Who is Arthur Neville Chamberlain?,Arthur Neville Chamberlain  (; 18 March 1869 – 9 November 1940) was a British Conservative politician who served as Prime Minister of the United Kingdom from May 1937 to May 1940.
Name a a Belgian journalist and politician of the New Flemish Alliance?,Johan Van Overtveldt (born 24 August 1955) is a Belgian journalist and politician of the New Flemish Alliance (N-VA).
Who is Beatrix Amelie Ehrengard Eilika von Storch?,Beatrix Amelie Ehrengard Eilika von Storch (née Duchess of Oldenburg; 27 May 1971) is a German politician who has been Deputy Leader of the Alternative for Germany since July 2015 and Member of the Bundestag since September 2017.
"Name a Finnish politician who served as Minister for European Affairs, Culture and Sports?","Sampo Terho (Born 20 September 1977) is a Finnish politician who served as Minister for European Affairs, Culture and Sports."
When was Dr Timothy Charles Ayrton Tannock born?,"Dr Timothy Charles Ayrton Tannock  (born 25 September 1957) is a British politician, psychiatrist, and former Member of the European Parliament for London for the Conservative Party."
Name a Belgian politician of the New Flemish Alliance (N-VA) and member of the European Parliament?,Helga Stevens (born 9 August 1968) is a Belgian politician of the New Flemish Alliance (N-VA) and member of the European Parliament since 2014.
Who is Monica Luisa Macovei?,"Monica Luisa Macovei (Romanian pronunciation: [moˈnika luˈisa makoˈvej]; born 4 February 1959) is a Romanian politician, lawyer and former prosecutor, currently a Member of the European Parliament from the European Conservatives and Reformists and formerly a member of the Romanian Democratic Liberal Party."
When was Jussi Kristian Halla-aho born?,Jussi Kristian Halla-aho (born 27 April 1971) is a Finnish politician and a member of the Parliament of Finland  (MP).
When was Thakur Artha Niranjan Joseph De Silva Deva Aditya born?,"Thakur Artha Niranjan Joseph De Silva Deva Aditya,  (born 11 May 1948), known as Nirj Deva, is a British politician."
Name a Dutch politician and former Member of the European Parliament (MEP) from the Netherlands?,"Bastiaan ""Bas"" Belder (born 25 October 1946) is a Dutch politician and former Member of the European Parliament (MEP) from the Netherlands."
Who is Nikolay Tihomirov Barekov?,"Nikolay Tihomirov Barekov (Bulgarian: Николай Тихомиров Бареков) (born 16 October 1972) is a Bulgarian journalist, politician, and businessman."
Name an American retired professional basketball player who played 15 seasons in the National Basketball Association (NBA)?,"Douglas Dale Christie (born May 9, 1970) is an American retired professional basketball player who played 15 seasons in the National Basketball Association (NBA)."
When did Sinclair McKnight Stevens die?,"Sinclair McKnight Stevens,  (February 11, 1927 – November 30, 2016) was a Canadian lawyer, businessman and cabinet minister."
"Name a Canadian political activist, tax reform advocate, politician, and author?","Jean-Serge Brisson (born June 28, 1954) is a Canadian political activist, tax reform advocate, politician, and author."
When was Rodney Sturt Taylor born?,Rodney Sturt Taylor (11 January 1930 – 7 January 2015) was an Australian-American actor.
"Name a Canadian political activist and former school trustee in Surrey, British Columbia?","Heather Stilwell (January 26, 1944 – December 3, 2010) was a Canadian political activist and former school trustee in Surrey, British Columbia."
Who is Edward John Vanwoudenberg?,"Edward John Vanwoudenberg is a Canadian minor-party politician, and was head of the Christian Heritage Party of Canada, from the party's founding convention in 1987 until 1991."
Name a Canadian economist and politician who served as the 22nd prime minister of Canada?,"Stephen Joseph Harper   (born April 30, 1959) is a Canadian economist and politician who served as the 22nd prime minister of Canada for nearly a decade, from February 6, 2006, to November 4, 2015."
When did Elsie Eleanore Wayne die?,"Elsie Eleanore Wayne (née Fairweather; April 20, 1932 – August 23, 2016) was a Canadian politician who served as a Progressive Conservative member of parliament for Saint John from 1993 to 2004."
"What is John James Charest, a Canadian politician who served as the 29th premier of Quebec known as?","John James Charest  (born June 24, 1958), known as Jean Charest, is a Canadian politician who served as the 29th premier of Quebec, from 2003 to 2012; the deputy prime minister of Canada from June 25, 1993, until November 4, 1993; the leader of the federal Progressive Conservative Party of Canada from 1993 to 1998; and the leader of the Quebec Liberal Party from 1998 to 2012."
"Who is a Canadian politician, diplomat, lawyer and writer who served as the 19th prime minister of Canada?","Avril Phaedra Douglas ""Kim"" Campbell  (born March 10, 1947) is a Canadian politician, diplomat, lawyer and writer who served as the 19th prime minister of Canada from June 25, 1993, to November 4, 1993."
When was Martin Brian Mulroney born?,"Martin Brian Mulroney  (; born March 20, 1939) is a Canadian politician who served as the 18th prime minister of Canada from September 17, 1984, to June 25, 1993."
Name a Canadian lawyer and politician who served as the eighth prime minister of Canada?,"Sir Robert Laird Borden,  (June 26, 1854 – June 10, 1937) was a Canadian lawyer and politician who served as the eighth prime minister of Canada, in office from 1911 to 1920."
"What is Peter David Broughton, a New Zealand stage and screen actor, director and writer generally known as?","Peter David Broughton , generally known as Rawiri Paratene, is a New Zealand stage and screen actor, director and writer."
Name an Australian politician serving as the 30th and current Prime Minister of Australia?,Scott John Morrison (born 13 May 1968) is an Australian politician serving as the 30th and current Prime Minister of Australia having become the leader of the governing Liberal Party in August 2018.
"When was Gary Stephen ""Angry"" Anderson AM born?","Gary Stephen ""Angry"" Anderson AM (born 5 August 1947) is an Australian rock singer-songwriter, television presenter-reporter and actor."
What is Percy Mahendra Rajapaksa commonly known as?,"Percy Mahendra Rajapaksa commonly known as Mahinda Rajapaksa (Sinhala: මහින්ද රාජපක්ෂ, Tamil: மஹிந்த ராஜபக்ஷ; born 18 November 1945) is a Sri Lankan politician currently serving as the Prime Minister of Sri Lanka since 21 November 2019 after being appointed by his brother, President Gotabaya Rajapaksa."
When was Robinhood Ferdinand Cariño Padilla born?,"Robinhood Ferdinand Cariño Padilla (born November 23, 1969) is a Filipino film actor, screenwriter, producer and director."
"What was Enrico de Jesus Puno, a Filipino singer, television host, actor, comedian & politician better known as?","Enrico de Jesus Puno (February 13, 1953 – October 30, 2018), better known as Rico J. Puno, was a Filipino singer, television host, actor, comedian & politician."
What is Manuel Monsour Tabib del Rosario III best known as?,"Manuel Monsour Tabib del Rosario III (born May 11, 1965), best known as Monsour del Rosario, is an former congressman representing the first legislative district of Makati, and former City Council from 1st district of Makati."
"What is Lucy Torres Gomez, a Filipina actress and politician and the current representative of the 4th District of Leyte known as?","Lucy Torres Gomez (born December 11, 1974) more commonly known as Lucy Torres is a Filipina actress and politician and the current representative of the 4th District of Leyte."
"When was Luciano Mariaño ""Lou"" Veloso born?","Luciano Mariaño ""Lou"" Veloso (born January 7, 1950) is a Filipino actor, comedian, theater actor, musical theater director, movie director and politician."
Who is Julian Marcus Daang Trono?,"Julian Marcus Daang Trono (born September 16, 1997) is a Filipino actor, dancer, choreographer and media personality."
"Name a Filipino actor, comedian, and politician who was formerly under GMA Network?","Ramon ""Jolo"" Revilla III (born José Lorenzo Hernández Bautista III, March 15, 1988) is a Filipino actor, comedian, and politician who was formerly under GMA Network."
"What was Joselito Perez Marquez, a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association better known as?","Joselito Perez Marquez, better known as Joey Marquez, is a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association."
What is Jose Pimentel Ejercito Jr. better known as?,"Jose Pimentel Ejercito Jr. (born February 17, 1963), better known as Jinggoy Estrada (Tagalog: [dʒɪŋˈɡoɪ]), is a Filipino politician, actor & film producer."
"When was Herbert Constantine ""Bistek"" Maclang Bautista born?","Herbert Constantine ""Bistek"" Maclang Bautista (born May 12, 1968) is a Filipino actor and politician."
"Name an an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran?","Eduardo Barrios Manzano (born September 14, 1955) is an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran."
"What is Andrés José Garchitorena Yllana Jr, an actor-comedian, television host and politician better known as?","Andrés José Garchitorena Yllana Jr., better known as Anjo Yllana (born April 24, 1968), is an actor-comedian, television host and politician."
"What is Angelica B. Alarva,  a singer actress and politician in the Philippines better known as?","Angelica B. Alarva (born January 20, 1983), known as Angelica Jones, is a singer actress and politician in the Philippines."
"When was Alfred Vargas, a Filipino public servant, actor and model born?","Alfred Vargas (born October 24, 1981) is a Filipino public servant, actor and model."
Who is Ariel Aquino Muhlach?,"Ariel Aquino Muhlach (Tagalog pronunciation: [ˈmulax], born August 12, 1969), commonly known as Aga Muhlach, is a multi-award winning Filipino actor and product endorser.He was introduced to the entertainment industry using his real name ""Ariel Muhlach"" at the age of seven when he appeared in the 1975 film May Isang Tsuper ng Taksi and the 1976 film, Babaing Hiwalay Sa Asawa, but he only became well known (under his new screen name ""Aga Muhlach"") with the success of the 1984 film Bagets, after which he became a popular matinee idol."
Name a Japanese actor and politician of the Constitutional Democratic Party of Japan (CDP)?,"Katsuhiko Yokomitsu (横光 克彦, Yokomitsu Katsuhiko, born November 4, 1943) is a Japanese actor and politician of the Constitutional Democratic Party of Japan (CDP), a member of the House of Representatives in the National Diet (national legislature)."
"Name a Japanese politician of the New Komeito Party, a member of the House of Councillors in the Diet?","Akira Matsu (松 あきら, Matsu Akira, born December 3, 1947) is a Japanese politician of the New Komeito Party, a member of the House of Councillors in the Diet (national legislature)."
Name a Japanese politician and author who was Governor of Tokyo from 1999 to 2012?,"Shintaro Ishihara (石原 慎太郎, Ishihara Shintarō, born 30 September 1932) is a Japanese politician and author who was Governor of Tokyo from 1999 to 2012."
Who is Rajpal Yadav?,"Rajpal Yadav is an Indian actor, known for his works in Hindi cinema."
"When was Vijayaraj Alagarswami,  an Indian politician and film actor who has worked predominantly in Tamil cinema born?","Vijayaraj Alagarswami  (born 25 August 1952), better known by his stage name Vijayakanth, is an Indian politician and film actor who has worked predominantly in Tamil cinema."
"What is Upendra Rao, an Indian filmmaker, actor and politician known for his work in Kannada cinema also known as?","Upendra Rao, also known as Upendra, is an Indian filmmaker, actor and politician known for his work in Kannada cinema."
"When did Upendra Jethalal Trivedi, an Indian film and stage actor, director and producer die?","Upendra Jethalal Trivedi (14 July 1936 –  4 January 2015) was an Indian film and stage actor, director and producer who was one of the most prolific actors of Gujarati cinema."
Name a former national secretary of Bharatiya Janata Party and an Indian actor who has acted in films like Chalte Chalte and Dushman?,Vani Tripathi is former national secretary of Bharatiya Janata Party and an Indian actor who has acted in films like Chalte Chalte and Dushman.
"Name an Indian film actress, producer and television presenter who has acted in more than 200 movies?","Khushbu Sundar is an Indian film actress, producer and television presenter who has acted in more than 200 movies."
"When was  Shekhar Suman, an Indian film actor, anchor, producer, director, and singer born?","Shekhar Suman (born 7 December 1962) is an Indian film actor, anchor, producer, director, and singer ."
Name an Indian politician from Tamil Nadu and Leader of opposition in the Tamil Nadu Legislative Assembly  from 25 May 2016?,Muthuvel Karunanidhi Stalin (born 1 March 1953) is an Indian politician from Tamil Nadu and Leader of opposition in the Tamil Nadu Legislative Assembly  from 25 May 2016.
"What is Divya Spandana,  an Indian film actress and politician who was the Member of Parliament in the Lok Sabha known professionally as?","Divya Spandana (born 29 November 1982), who was known professionally as Ramya (Kannada: ರಮ್ಯಾ Ramyā), is an Indian film actress and politician who was the Member of Parliament in the Lok Sabha from Mandya,  Karnataka."
"When was Shruti Haasab, an Indian film actress and singer who works predominantly in Tamil, Telugu, and Hindi language films born?","Shruti Haasan (born 28 January 1986) is an Indian film actress and singer who works predominantly in Tamil, Telugu, and Hindi language films."
Who is Sattanathapuram Venkataraman Shekhar?,Sattanathapuram Venkataraman Shekhar (born 26 December 1950) better known as 'S.
Name a three-time National Award winning Indian actress and politician from Andhra Pradesh?,Sharada (born Saraswati Devi; 25 June 1945) is a three-time National Award winning Indian actress and politician from Andhra Pradesh.
When was Shabana Azmi born?,"Shabana Azmi (born 18 September 1950) is an Indian actress of film, television and theatre."
"Name a former TDP parliamentarian, film actor,producer and director in Telugu cinema?","Kaikala Satyanarayana is a former TDP parliamentarian, film actor,producer and director in Telugu cinema."
"Name an Indian film actor, politician, journalist and former body builder and former president of the South Indian Film Artistes' Association?","Ramanathan Sarathkumar (born 14 July 1954) is an Indian film actor, politician, journalist and former body builder and former president of the South Indian Film Artistes' Association."
"Name  an Indian film actress and comedian, who prominently plays supporting roles in Tamil and Telugu films?","Kovai Sarala is an Indian film actress and comedian, who prominently plays supporting roles in Tamil and Telugu films."
Name an Indian actor and member of the All India Anna Dravida Munnetra Kazhagam?,J. K. Rithesh (5 March 1973 – 13 April 2019) was an Indian actor and member of the All India Anna Dravida Munnetra Kazhagam.
"When was Paresh Rawal, an Indian film actor, comedian and politician known for his works notably in Bollywood born?","Paresh Rawal (born 30 May 1955) is an Indian film actor, comedian and politician known for his works notably in Bollywood."
"Name an Indian film character actor, and producer, known for his works predominantly in the Telugu cinema, and Telugu theatre?","Rao Gopal Rao (born Raavu Gopala Rao) (14 January 1937 – 13 August 1994) was an Indian film character actor, and producer, known for his works predominantly in the Telugu cinema, and Telugu theatre."
"What is Swetha, an Indian politician and former actress popularly known as?","Swetha (born 31 March 1984), popularly known as Rakshita, is an Indian politician and former actress."
Who is Basavanagowda Channabasavanagowda Patil?,"Basavanagowda Channabasavanagowda Patil, popularly known as B. C. Patil, is a Kannada actor and is a three-term MLA from Hirekerur assembly constituency."
Name an Indian politician and President of Lok Janshakti Party?,Chirag Paswan (born 31 October 1983) is an Indian politician and President of Lok Janshakti Party.
Who is Arun Pandian?,"Arun Pandian is an Indian film actor, director, producer and politician."
"Name an Indian actress, voice actress, model, and former beauty queen who competed in the Miss Universe pageant?","Gul Panag (born Gulkirat Kaur Panag, 3 January 1979; Chandigarh, India) is an Indian actress, voice actress, model, and former beauty queen who competed in the Miss Universe pageant."
"When was Kajal Nishad, an Indian actress working in Bhojpuri cinema and Hindi Television and politician born?",Kajal Nishad (born 1 June 1982) is an Indian actress working in Bhojpuri cinema and Hindi Television and politician.
"Name an Indian film actress,  politician, writer,  social activist who was the minister of Kannada, Culture, and Department of Women & Child Welfare of Karnataka? ","Balaji Tangali Lalitha Naik (born 4 April 1945) is an Indian film actress,  politician, writer,  social activist who was the minister of Kannada, Culture, and Department of Women & Child Welfare of Karnataka."
"What is Anant Nagarkatte, an Indian actor, known primarily for his work in Kannada cinema known as?","Anant Nagarkatte (born 4 September 1948) known as Anant Nag, is an Indian actor, known primarily for his work in Kannada cinema, and in addition he appeared in Marathi, Tamil, Malayalam, Telugu and Hindi movies."
"Name an Indian film actor, producer, politician and business executive from Telugu cinema?","Murali Mohan Maganti (born 24 June 1940) is an Indian film actor, producer, politician and business executive from Telugu cinema."
When was Mahesh Vaman Manjrekar born?,"Mahesh Vaman Manjrekar (born 16 August 1958) is an Indian film director, actor, writer and producer."
"Name an Indian actor, comedian and politician, who mostly works in Odia language films?","Harihara Mahapatra is an Indian actor, comedian and politician, who mostly works in Odia language films known as Ollywood."
"Name an Indian stage and film actress, politician, and writer from Karnataka?","Chindodi Leela (1937 – 21 January 2010) was an Indian stage and film actress, politician, and writer from Karnataka."
"Who is Alokesh ""Bappi"" Lahiri?","Alokesh ""Bappi"" Lahiri (born 27 November 1952) is an Indian singer, composer, politician, disco musician and record producer."
What is Ravindra Shyamnarayan Shukla popularly known as?,"Ravindra Shyamnarayan Shukla (born 17 July 1969), popularly known as Ravi Kishan, is an Indian actor, politician and television personality who is the current Member of Parliament in the Lok Sabha from Gorakhpur."
"Name a veteran Indian theatre actress, director and singer, who has also acted in films and television and worked as dubbing artist in films?","B. Jayashree (born 9 June 1950) is a veteran Indian theatre actress, director and singer, who has also acted in films and television and worked as dubbing artist in films."
Name an Indian politician and film actress who served six times as the Chief Minister of Tamil Nadu for over fourteen years?,Jayaram Jayalalithaa (24 February 1948 – 5 December 2016) was an Indian politician and film actress who served six times as the Chief Minister of Tamil Nadu for over fourteen years between 1991 and 2016.
What was Janaki Ramachandran commonly known as?,"Janaki Ramachandran (30 November 1923 – 19 May 1996, née Vaikom Narayani Janaki), commonly known as V. N. Janaki, was an Indian politician and activist  of  Tamil Nadu."
"Name an Indian actress, director and politician who appeared mainly in Telugu films?","Jamuna (born 30 August 1936) is an Indian actress, director and politician who appeared mainly in Telugu films."
When was Nusrat Jahan Ruhi Jain born?,Nusrat Jahan Ruhi Jain (born 8 January 1990) is an Indian film actress who predominantly works in Bengali cinema.
"What was P. V. Jagadish Kumar, an Indian film actor and screenwriter popularly known as?","P. V. Jagadish Kumar (born 12 June 1955), popularly known as Jagadish, is an Indian film actor and screenwriter."
Name an Indian activist in the Indian National Congress  during the Indian independence movement?,F. G. Natesa Iyer (11 November 1880 – 23 January 1963) was an Indian activist in the Indian National Congress  during the Indian independence movement.
Who is Nandamuri Harikrishna?,"Nandamuri Harikrishna (2 September 1953 – 29 August 2018) was an Indian film actor, producer and politician who was the Member of Parliament in the Rajya Sabha from Andhra Pradesh."
"What is Govinda Ahuja,  an Indian film actor, comedian, dancer, and former politician known for his work in Hindi films known mononymously as?","Govind Ahuja (born 21 December 1963), known mononymously as Govinda,  is an Indian film actor, comedian, dancer, and former politician known for his work in Hindi films."
Who is Keezhoote Balakrishna Pillai Ganesh Kumar?,"Keezhoote Balakrishna Pillai Ganesh Kumar (born 25 May 1966) is an Indian actor, television host, and politician."
"What is Ajay Singh Deol, an Indian film actor, director, producer, politician and the current member of parliament from Gurdaspur better known as?","Ajay Singh Deol (born 19 October 1956), better known as Sunny Deol, is an Indian film actor, director, producer, politician and the current member of parliament from Gurdaspur (Lok Sabha constituency) of Punjab State."
"Name an Indian English poet, a dramatist, an actor, a musician and a member of the 1st Lok Sabha from Vijayawada constituency?","Harindranath Chattopadhyay (2 April 1898 – 23 June 1990) was an Indian English poet, a dramatist, an actor, a musician and a member of the 1st Lok Sabha from Vijayawada constituency."
"Name an Indian film actor, director, screenwriter, producer, veterinary doctor and former Member of Parliament in Lok Sabha?","Nitish Bharadwaj (born 2 June 1963) is an Indian film actor, director, screenwriter, producer, veterinary doctor and former Member of Parliament in Lok Sabha."
"Name an Indian film actress, Bharathanatyam dancer, Carnatic singer, dance choreographer and parliamentarian?","Vyjayanthimala (born 13 August 1936)  is an Indian film actress, Bharathanatyam dancer, Carnatic singer, dance choreographer and parliamentarian."
Name a Hindi and Punjabi film actor and politician belonging to Indian National Congress?,Raj Babbar (born 23 June 1952) is a Hindi and Punjabi film actor and politician belonging to Indian National Congress.
Name an Indian actress and a Politician from Indian National Congress and a social activist?,Nafisa Ali  (born 18 January 1957) is an Indian actress and a Politician from Indian National Congress and a social activist.
Name an Israeli politician and former journalist serving as chairman of the Yesh Atid party?,Yair Lapid (Hebrew: יאיר לפיד‎; born 5 November 1963) is an Israeli politician and former journalist serving as chairman of the Yesh Atid party.
When was Asaduzzaman Noor born?,"Asaduzzaman Noor (born 31 October 1946) is a Bangladeshi actor, politician and activist."
"Name an English cartoonist, satirist, comedian, actor and performer who co-founded the satirical magazine Private Eye?","William George Rushton (18 August 1937 – 11 December 1996) was an English cartoonist, satirist, comedian, actor and performer who co-founded the satirical magazine Private Eye."
"Name a British television personality, television chef, actress, singer and former politician?","Rustie Lee is a British television personality, television chef, actress, singer and former politician."
"When did Alfred Arthur Hinchcliffe Denville,an English actor, theatre impresario and Conservative Party politician die?","Alfred Arthur Hinchcliffe Denville (27 January 1876 – 23 March 1955) was an English actor, theatre impresario and Conservative Party politician."
"When was Bruce Belfrage, an English actor and BBC radio newsreader born?",Bruce Belfrage (30 October 1900 – August 1974) was an English actor and BBC radio newsreader.
"Name an English Liberal Democrat local politician, journalist, children's book author and former model and actress?","Marina Augusta Pepper (née Baker; born 8 December 1967)  is an English Liberal Democrat local politician, journalist, children's book author and former model and actress."
"Name a Russian politician, TV anchor, journalist, socialite and actress?","Ksenia Anatolyevna Sobchak  (born 5 November 1981) is a Russian politician, TV anchor, journalist, socialite and actress."
Who is Nikolai Nikolaevich Gubenko?,"Nikolai Nikolaevich Gubenko (Russian: Николай Николаевич Губенко) (born 17 August 1941) is a Soviet and Russian actor, film and theatre director, screenwriter, founder of the Community of Taganka Actors theatre."
Who is Stanislav Sergeyevich Govorukhin?,"Stanislav Sergeyevich Govorukhin (Russian: Станислав Сергеевич Говорухин; 29 March 1936 – 14 June 2018) was a Soviet and Russian film director, actor, screenwriter, producer and politician."
Who is Rolan Antonovich Bykov?,"Rolan Antonovich Bykov (Russian: Ролан Антонович Быков; October 12, 1929 – October 6, 1998) was a Soviet and Russian actor, theatre and film director, screenwriter, educator at High Courses for Scriptwriters and Film Directors, poet and song writer, as well as a politician and a banker."
Who is Vladimir Vladimirovich Bortko PAR?,"Vladimir Vladimirovich Bortko PAR (Russian: Владимир Владимирович Бортко; born May 7, 1946 in Moscow), is a Russian film director, screenwriter, producer and politician."
Name a Mexican actress and politician associated with the Institutional Revolutionary Party?,"Carmen Salinas Lozano (born October 5, 1939) is a Mexican actress and politician associated with the Institutional Revolutionary Party (PRI)."
"Name  a Quebecois-Canadian actor, comedian and singer as well as a former Canadian Senator?","Jean Lapointe,  (born December 6, 1935) is a Quebecois-Canadian actor, comedian and singer as well as a former Canadian Senator."
Name an American soccer player who currently plays as a defender for NSWL club Utah Royals FC.?,"Elizabeth Rose Ball (born October 20, 1995) is an American soccer player who currently plays as a defender for NSWL club Utah Royals FC."
"Name an American actor and political activist, best known for his role as John Walton, Sr. on The Waltons (1972–1981)?","Ralph Waite (June 22, 1928 – February 13, 2014) was an American actor and political activist, best known for his role as John Walton, Sr. on The Waltons (1972–1981), which he occasionally directed."
"Name an English-American television presenter, politician, news presenter, actor, producer, musician, and former lawyer?","Gerald Norman Springer (born February 13, 1944) is an English-American television presenter, politician, news presenter, actor, producer, musician, and former lawyer."
"Name an American stage and film actor, vaudeville performer, cowboy, humorist, newspaper columnist, and social commentator from Oklahoma?","William Penn Adair Rogers (November 4, 1879 – August 15, 1935) was an American stage and film actor, vaudeville performer, cowboy, humorist, newspaper columnist, and social commentator from Oklahoma."
"Name an American actress, environmental and women's rights activist, and former U.S. Senate candidate, known for her trademark heavy Southern accent?","Park Overall (born March 15, 1957) is an American actress, environmental and women's rights activist, and former U.S. Senate candidate, known for her trademark heavy Southern accent."
When was Cynthia Ellen Nixon born?,"Cynthia Ellen Nixon (born April 9, 1966) is an American actress and activist."
When did George Lloyd Murphy die?,"George Lloyd Murphy (July 4, 1902 – May 3, 1992) was an American dancer, actor, and politician."
"Who is William M. ""Sonny"" Landham?","William M. ""Sonny"" Landham (February 11, 1941 – August 17, 2017) was an American film actor and stunt man."
"Name an American politician, former child actress, and currently the member of the Los Angeles County Board of Supervisors for the 3rd District?","Sheila James Kuehl (born February 9, 1941) is an American politician, former child actress, and currently the member of the Los Angeles County Board of Supervisors for the 3rd District."
"Name an American actor, politician, playwright and essayist, best known for his role as Cooter Davenport in The Dukes of Hazzard?","Ben Lewis Jones (born August 30, 1941) is an American actor, politician, playwright and essayist, best known for his role as Cooter Davenport in The Dukes of Hazzard."
"Name an American film actor of the 1920s silent era and into the 1930s, and later a television actor?","Charles Farrell (August 9, 1900 – May 6, 1990) was an American film actor of the 1920s silent era and into the 1930s, and later a television actor."
Who is Carlos Alan Autry Jr.?,"Carlos Alan Autry Jr. (also known for a period of time as Carlos Brown; born July 31, 1952), is an American actor, politician, and former National Football League  player."
