,question,Actual Abstract,quest_emb,Predicted Abstract,Answer
101,Name a British aristocrat and polo player who styled as Earl of Sunderland until 2014?,"George John Godolphin Spencer-Churchill, Marquess of Blandford (born 28 July 1992), styled as Earl of Sunderland until 2014, is a British aristocrat and polo player.",[[0.01666664 0.04943122 0.10543495 ... 0.01918939 0.07264351 0.07697678]],"George John Godolphin Spencer-Churchill, Marquess of Blandford (born 28 July 1992), styled as Earl of Sunderland until 2014, is a British aristocrat and polo player.",George John Godolphin Spencer-Churchill
102,Who is Sir Francis Christopher Buchan Bland?,Sir Francis Christopher Buchan Bland (29 May 1938 – 28 January 2017) was a British businessman and politician.,"[[-0.02042911  0.07145894  0.04149213 ... -0.01054987  0.0828337
   0.00416263]]",Sir Francis Christopher Buchan Bland (29 May 1938 – 28 January 2017) was a British businessman and politician.,Sir Francis Christopher Buchan Bland (29 May 1938 – 28 January 2017) was a British businessman and politician.
103,When did William Henry Cavendish-Bentinck die?,"William Henry Cavendish-Bentinck  (14 September 1774 – 17 June 1839), known as Lord William Bentinck, was a British soldier and statesman.","[[ 0.0883741   0.12703645  0.18812431 ... -0.01258786  0.02970082
  -0.04156346]]","William Henry Cavendish-Bentinck  (14 September 1774 – 17 June 1839), known as Lord William Bentinck, was a British soldier and statesman.",17 June 1839
104,Name an English amateur cricketer who played first-class cricket from 1820 to 1837 and a Whig politician?,Charles James Barnett (31 October 1796–31 December 1882) was an English amateur cricketer who played first-class cricket from 1820 to 1837 and a Whig politician who sat in the House of Commons from 1831 to 1835.,[[0.01109498 0.09869917 0.06590906 ... 0.04384051 0.08663539 0.08056316]],Charles James Barnett (31 October 1796–31 December 1882) was an English amateur cricketer who played first-class cricket from 1820 to 1837 and a Whig politician who sat in the House of Commons from 1831 to 1835.,Charles James Barnett 
105,"Name a  professional Russian kickboxer, multiple world champion, social and political activist, member of the People's Khural of Kalmykia? ","Batu Sergeyevich Khasikov (Oirat: Хасгин Бату; Hasgin Batu; born June 28, 1980) is a professional Russian kickboxer, multiple world champion (ISKA, WAKO PRO, WKA and W5 K-1  World Champion, WAKO PRO European Champion), social and political activist, member of the People's Khural of Kalmykia (2008-2012) and representative for the Republic of Kalmykia in the Federation Council (2012-2014).",[[0.03933791 0.11474786 0.12395819 ... 0.03635589 0.05777779 0.10805894]],"Batu Sergeyevich Khasikov (Oirat: Хасгин Бату; Hasgin Batu; born June 28, 1980) is a professional Russian kickboxer, multiple world champion (ISKA, WAKO PRO, WKA and W5 K-1  World Champion, WAKO PRO European Champion), social and political activist, member of the People's Khural of Kalmykia (2008-2012) and representative for the Republic of Kalmykia in the Federation Council (2012-2014).",Batu Sergeyevich Khasikov 
106,"Name a Norwegian fencer, sports official and businessperson?","Hans Bergsland (15 November 1878 – 9 June 1956) was a Norwegian fencer, sports official and businessperson.","[[ 0.10416871  0.04943122 -0.09763292 ...  0.00181817 -0.01998024
   0.07874683]]","Hans Bergsland (15 November 1878 – 9 June 1956) was a Norwegian fencer, sports official and businessperson.",Hans Bergsland 
107,Name a retired Dutch politician of the People's Party for Freedom and Democracy?,Erica Georgina Terpstra (born 26 May 1943) is a retired Dutch politician of the People's Party for Freedom and Democracy (VVD).,[[0.01666664 0.04943122 0.08807761 ... 0.06362423 0.04844176 0.11397471]],Erica Georgina Terpstra (born 26 May 1943) is a retired Dutch politician of the People's Party for Freedom and Democracy (VVD).,Erica Georgina Terpstra 
108,Name a Northern Irish Unionist politician who served as Chairman of the Independent Unionist Association?,William McConnell Wilton was a Northern Irish Unionist politician who served as Chairman of the Independent Unionist Association.,[[0.01666664 0.13712952 0.11324017 ... 0.00818663 0.02560866 0.10561722]],William McConnell Wilton was a Northern Irish Unionist politician who served as Chairman of the Independent Unionist Association.,William McConnell Wilton was a Northern Irish Unionist politician who served as Chairman of the Independent Unionist Association.
109,When did Augustine Mary Moore Stack die?,Augustine Mary Moore Stack (7 December 1879 – 27 April 1929) was an Irish revolutionary and politician.,"[[-0.02874381  0.04951711 -0.05365889 ...  0.05090179  0.04720923
  -0.01228514]]","Charles Smith (""C.S."")",Answer not found!
110,Who is Grace O'Sullivan?,Grace O'Sullivan (born 8 March 1962) is an Irish politician who has been a Member of the European Parliament (MEP) from Ireland for the South constituency since July 2019.,"[[-0.02042911  0.04943122  0.10383049 ... -0.00026617 -0.05017846
   0.04276897]]",Hon.,Answer not found!
111,Who is Donogh Brendan O'Malley?,"Donogh Brendan O'Malley (17 January 1921 – 10 March 1968) was an Irish Fianna Fáil politician and rugby union player who served as Minister for Education from 1966 to 1968, Minister for Health from 1965 to 1966 and Parliamentary Secretary to the Minister for Finance from 1961 to 1965.","[[-0.01682594  0.1154772   0.03042021 ... -0.01258786  0.08135422
   0.04443345]]","Donogh Brendan O'Malley (17 January 1921 – 10 March 1968) was an Irish Fianna Fáil politician and rugby union player who served as Minister for Education from 1966 to 1968, Minister for Health from 1965 to 1966 and Parliamentary Secretary to the Minister for Finance from 1961 to 1965.","Donogh Brendan O'Malley (17 January 1921 – 10 March 1968) was an Irish Fianna Fáil politician and rugby union player who served as Minister for Education from 1966 to 1968, Minister for Health from 1965 to 1966 and Parliamentary Secretary to the Minister for Finance from 1961 to 1965."
112,When was Bartholomew O'Keeffe born?,"Bartholomew O'Keeffe (born 2 April 1945) is a former Irish Fianna Fáil politician who served as Minister for Enterprise, Trade and Innovation from 2010 to 2011, Minister for Education and Science from 2008 to 2010, Minister of State for Housing and Urban Renewal from 2007 to 2008 and Minister of State for Environmental Protection from 2004 to 2007.","[[-0.01890067  0.04943122  0.05451456 ... -0.000299    0.00284318
   0.02867208]]",David Ian Calder (born 1 August 1946) is an English actor.,Answer not found!
113,"What is Paul James Grady, an English comedian, television presenter, actor, writer, radio host, producer, and former drag queen better known as?","Paul James Grady, MBE (born 14 June 1955), better known as Paul O'Grady, is an English comedian, television presenter, actor, writer, radio host, producer, and former drag queen.","[[-0.02042911  0.21358849  0.2422788  ...  0.0654136   0.03713844
   0.11056064]]","Paul James Grady, MBE (born 14 June 1955), better known as Paul O'Grady, is an English comedian, television presenter, actor, writer, radio host, producer, and former drag queen.",Paul OGrady
114,Who is Sir Henry George Hill Mulholland?,"Sir Henry George Hill Mulholland, 1st Baronet, PC DL (20 December 1888 – 5 March 1971) was a Northern Ireland politician.","[[-0.02042911  0.04943122  0.06587396 ...  0.06993815  0.0776509
   0.01462483]]","William Cecil, 1st Baron Burghley also known as Lord Burghley.",Answer not found!
115,Name a a former association footballer and a politician who is Ireland's oldest public representative either side of the island's border?,Ian McGarvey (born July 1929) is a former association footballer and a politician who is Ireland's oldest public representative either side of the island's border.,[[0.01666664 0.14138375 0.11027845 ... 0.07613687 0.12625101 0.10603952]],Ian McGarvey (born July 1929) is a former association footballer and a politician who is Ireland's oldest public representative either side of the island's border.,Ian McGarvey 
116,"What was James Larkin, an Irish republican, socialist and trade union leader sometimes known as?","James Larkin (21 January 1876 – 30 January 1947), sometimes known as Jim Larkin, was an Irish republican, socialist and trade union leader.","[[-0.01890067  0.11744225  0.02378884 ...  0.01687536  0.00793057
   0.12739219]]","James Larkin (21 January 1876 – 30 January 1947), sometimes known as Jim Larkin, was an Irish republican, socialist and trade union leader.",Jim Larkin
117,When was Colm M. Hilliard born?,"Colm M. Hilliard (28 May 1936 – 14 January 2002) was an Irish Fianna Fáil politician who sat for fifteen years as Teachta Dála (TD) for Meath.He was first elected to Dáil Éireann at the February 1982 general election, replacing retiring Labour Party TD James Tully, and giving Fianna Fáil three out of five Meath seats in the 23rd Dáil.","[[-0.01890067  0.0629505   0.01111752 ...  0.00221114  0.04255309
  -0.00428819]]","M. Roy Wilson M.D., M.S.",Answer not found!
118,"Name an Irish poet, author, otolaryngologist, athlete, politician, and well-known conversationalist?","Oliver Joseph St John Gogarty (17 August 1878 – 22 September 1957) was an Irish poet, author, otolaryngologist, athlete, politician, and well-known conversationalist.","[[-0.02874381  0.08735544  0.13529679 ...  0.02273583  0.03626599
   0.08680121]]","Oliver Joseph St John Gogarty (17 August 1878 – 22 September 1957) was an Irish poet, author, otolaryngologist, athlete, politician, and well-known conversationalist.",Oliver Joseph St John Gogarty 
119,"When was Kenneth ""Kenny"" Egan born?","Kenneth ""Kenny"" Egan (born 7 January 1982) is an Irish politician and amateur boxer from Clondalkin, Dublin best known for winning a Silver Medal in the final of the 81 kg, Light-Heavyweight boxing final at the 2008 Olympics.","[[-0.01890067  0.04943122  0.02734789 ...  0.05232726  0.02021495
   0.04123807]]","Charles Smith (""C.S."")",Answer not found!
120,Name a former Irish Fine Gael politician who served as Minister of State for the Diaspora from 2014 to 2016?,"Jimmy Deenihan (born 11 September 1952) is a former Irish Fine Gael politician who served as Minister of State for the Diaspora from 2014 to 2016, Minister for Arts, Heritage and the Gaeltacht from 2011 to 2014 and Minister of State at the Department of Agriculture, Food and Forestry from 1994 to 1997.",[[0.01666664 0.11606012 0.15003106 ... 0.04567157 0.02684989 0.12541676]],Joe McHugh (born 16 July 1971) is an Irish Fine Gael politician who has served as Minister for Education and Skills since October 2018.,Answer not found!
121,Who was Air Marshal Sir George Robert Beamish?,"Air Marshal Sir George Robert Beamish,  (29 April 1905 – 13 November 1967) was a senior commander in the Royal Air Force from the Second World War to his retirement in the late 1950s.","[[-0.01890067  0.04943122  0.07441727 ...  0.04183728  0.06807719
   0.02031163]]","Air Marshal Sir George Robert Beamish,  (29 April 1905 – 13 November 1967) was a senior commander in the Royal Air Force from the Second World War to his retirement in the late 1950s.","Air Marshal Sir George Robert Beamish,  (29 April 1905 – 13 November 1967) was a senior commander in the Royal Air Force from the Second World War to his retirement in the late 1950s."
122,Who is Dermot Christopher Ahern?,"Dermot Christopher Ahern (born 20 April 1955) is an Irish former Fianna Fáil politician who served as Minister for Justice and Law Reform from 2008 to 2011, Minister for Foreign Affairs from 2004 to 2008, Minister for Communications, Marine and Natural Resources from 2002 to 2004, Minister for Social, Community and Family Affairs from 1997 to 2002 and Government Chief Whip and Minister of State at the Department of Defence from 1991 to 1992.","[[-0.02042911  0.06043432  0.05466725 ... -0.01258786 -0.01013629
   0.00223985]]",Hon.,Answer not found!
123,Who is Vasilis Papageorgopoulos?,"Vasilis Papageorgopoulos (Greek: Βασίλης Παπαγεωργόπουλος; born June 27, 1947) is a retired Greek sprinter, former mayor of Thessaloniki.","[[-0.02042911  0.04943122 -0.14669167 ...  0.02516926 -0.06448878
   0.01542161]]",T.S.,Answer not found!
124,Who is Maurice Bienvenu Jean Paul Trintignant?,"Maurice Bienvenu Jean Paul Trintignant (30 October 1917, in Sainte-Cécile-les-Vignes, Vaucluse – 13 February 2005, in Nîmes) was a motor racing driver and vintner from France.","[[-0.02042911  0.04943122  0.0441799  ...  0.03350133  0.11163496
   0.00763441]]","Maurice Bienvenu Jean Paul Trintignant (30 October 1917, in Sainte-Cécile-les-Vignes, Vaucluse – 13 February 2005, in Nîmes) was a motor racing driver and vintner from France.","Maurice Bienvenu Jean Paul Trintignant (30 October 1917, in Sainte-Cécile-les-Vignes, Vaucluse – 13 February 2005, in Nîmes) was a motor racing driver and vintner from France."
125,Name an Olympic champion and politician who won gold at the 1976 Summer Olympics in Montreal in the 110 m hurdles?,Guy Drut (born 6 December 1950) is an Olympic champion and politician who won gold at the 1976 Summer Olympics in Montreal in the 110 m hurdles.,[[0.01656361 0.14184758 0.11011676 ... 0.00978602 0.06148299 0.11468706]],Guy Drut (born 6 December 1950) is an Olympic champion and politician who won gold at the 1976 Summer Olympics in Montreal in the 110 m hurdles.,Guy Drut 
126,Who is David Donald Hubert Roger Douillet?,David Donald Hubert Roger Douillet (French pronunciation: ​[david dɔnald ybɛʁ ʁɔʒe dujɛ]; born 17 February 1969) is a retired French judoka and politician.,"[[-0.02042911  0.16999632  0.11986021 ... -0.01258784 -0.00176253
   0.02421883]]",David Donald Hubert Roger Douillet (French pronunciation: ​[david dɔnald ybɛʁ ʁɔʒe dujɛ]; born 17 February 1969) is a retired French judoka and politician.,David Donald Hubert Roger Douillet (French pronunciation: ​[david dɔnald ybɛʁ ʁɔʒe dujɛ]; born 17 February 1969) is a retired French judoka and politician.
127,When was Juha Iisakki Mieto born?,"Juha Iisakki Mieto (born 20 November 1949) is a Finnish former cross-country skier, who was born in Kurikka.","[[-0.01441269  0.04943122 -0.14158708 ... -0.01258786 -0.04562595
   0.02190221]]",Thos.,Answer not found!
128,Name a Finnish politician in the left-wing Finnish People's Democratic League?,Kuuno Ola Honkonen (1 March 1922 – 9 July 1985) was a Finnish politician in the left-wing Finnish People's Democratic League.,[[0.08208907 0.04943122 0.11418486 ... 0.05118231 0.03236894 0.0914213 ]],The Leader of the Conservative Party in the United Kingdom is the most senior politician of the Conservative Party.,Answer not found!
129,Who is Chi Ling Dai Cheng?,"Chi Ling Dai Cheng (July 15, 1970 – April 13, 2013) was an American musician and poet, best known as the bassist and backing vocalist for the American alternative metal band Deftones.","[[-0.02042911  0.04943122  0.1857539  ...  0.02923915 -0.04105088
   0.15983906]]","Chi Ling Dai Cheng (July 15, 1970 – April 13, 2013) was an American musician and poet, best known as the bassist and backing vocalist for the American alternative metal band Deftones.","Chi Ling Dai Cheng (July 15, 1970 – April 13, 2013) was an American musician and poet, best known as the bassist and backing vocalist for the American alternative metal band Deftones."
130,Name a former Sri Lankan cricketer and a former captain of the Sri Lankan national team?,Deshabandu Sanath Teran Jayasuriya (Sinhala: සනත් ටෙරාන් ජයසූරිය; born 30 June 1969) is a former Sri Lankan cricketer and a former captain of the Sri Lankan national team.,[[0.01666664 0.11606012 0.20270255 ... 0.03440228 0.01886056 0.09453567]],Deshabandu Sanath Teran Jayasuriya (Sinhala: සනත් ටෙරාන් ජයසූරිය; born 30 June 1969) is a former Sri Lankan cricketer and a former captain of the Sri Lankan national team.,Deshabandu Sanath Teran Jayasuriya 
131,Name a Filipino former professional basketball player and television personality?,"Christopher John Alandy-Dy Tiu (born on July 15, 1985) is Filipino former professional basketball player and television personality.",[[0.01666664 0.11225799 0.15557098 ... 0.05128968 0.00194039 0.10238349]],"Christopher John Alandy-Dy Tiu (born on July 15, 1985) is Filipino former professional basketball player and television personality.",Christopher John Alandy-Dy Tiu 
132,"Who is Alberto ""Bobby"" Dapidran Pacquiao?","Alberto ""Bobby"" Dapidran Pacquiao (born Alberto Mejia Pacquiao on April 23, 1980) is a Filipino former professional boxer.","[[-0.02042911  0.04943122  0.0931583  ...  0.09897311 -0.06795798
   0.0136567 ]]","Alberto ""Bobby"" Dapidran Pacquiao (born Alberto Mejia Pacquiao on April 23, 1980) is a Filipino former professional boxer.","Alberto ""Bobby"" Dapidran Pacquiao (born Alberto Mejia Pacquiao on April 23, 1980) is a Filipino former professional boxer."
133,"Name a Filipino politician, serving as mayor of the municipality of Bulakan, Bulacan?","Vergel Meneses (born January 14, 1969, Malolos, Bulacan) is a Filipino politician, serving as mayor of the municipality of Bulakan, Bulacan.","[[ 0.01666664  0.09001033  0.02790455 ... -0.00970946  0.08304416
   0.1151327 ]]","Vergel Meneses (born January 14, 1969, Malolos, Bulacan) is a Filipino politician, serving as mayor of the municipality of Bulakan, Bulacan.",Vergel Meneses 
134,"What is Rosalio D. Martires,  a Filipino retired basketball player, actor and comedian also known as?","Rosalio D. Martires (born September 9, 1951), also known as Yoyong Martirez, is a Filipino retired basketball player, actor and comedian.","[[-0.02042911  0.08693164  0.09138698 ...  0.02826874  0.12598687
   0.10504649]]","Rosalio D. Martires (born September 9, 1951), also known as Yoyong Martirez, is a Filipino retired basketball player, actor and comedian.",
135,Name a Filipino journalist and politician who gained widespread attention as Mayor of Manila from 1952 to 1962?,"Arsenio H. Lacson (December 26, 1912 – April 15, 1962) was a Filipino journalist and politician who gained widespread attention as Mayor of Manila from 1952 to 1962.",[[0.01666664 0.12566069 0.10200509 ... 0.06417666 0.09861752 0.07451199]],"Arsenio H. Lacson (December 26, 1912 – April 15, 1962) was a Filipino journalist and politician who gained widespread attention as Mayor of Manila from 1952 to 1962.",Arsenio H. Lacson 
136,Name the 22nd and current Prime Minister of Pakistan and the chairman of the Pakistan Tehreek-e-Insaf?,Imran Ahmed Khan Niazi  (Urdu: عمران احمد خان نیازی‎; born 5 October 1952) is the 22nd and current Prime Minister of Pakistan and the chairman of the Pakistan Tehreek-e-Insaf (PTI).,"[[-0.01424452  0.05818683  0.1979925  ...  0.00795131  0.04986219
   0.16114517]]",Imran Ahmed Khan Niazi  (Urdu: عمران احمد خان نیازی‎; born 5 October 1952) is the 22nd and current Prime Minister of Pakistan and the chairman of the Pakistan Tehreek-e-Insaf (PTI).,Imran Ahmed Khan Niazi  
137,"What is Syed Iftikhar Ali Bokhari, a Pakistani former politician and cricketer also known as?","Syed Iftikhar Ali Bokhari (born 6 July 1935 in Lahore), also known as IA Bokhari, is a Pakistani former politician and cricketer.","[[-0.02042911  0.07518294  0.18799883 ...  0.02392748 -0.04101935
   0.10142595]]","Syed Iftikhar Ali Bokhari (born 6 July 1935 in Lahore), also known as IA Bokhari, is a Pakistani former politician and cricketer.",IA Bokhari
138,"Name a former sumo wrestler from Aomori, Japan?","Hayateumi Hidehito (born July 5, 1975 as Naohito Saitō) is a former sumo wrestler from Aomori, Japan.","[[ 0.01666664  0.11606012  0.12437131 ... -0.01258786 -0.00698044
   0.10464167]]","Hayateumi Hidehito (born July 5, 1975 as Naohito Saitō) is a former sumo wrestler from Aomori, Japan.",Hayateumi Hidehito 
139,"Name a Japanese politician, former speed skater and track cycling sprinter?","Seiko Hashimoto (Japanese: 橋本 聖子, Hashimoto Seiko, born 5 October 1964) is a Japanese politician, former speed skater and track cycling sprinter.",[[0.01666664 0.19711842 0.07074308 ... 0.02859331 0.00629831 0.11376105]],"Seiko Hashimoto (Japanese: 橋本 聖子, Hashimoto Seiko, born 5 October 1964) is a Japanese politician, former speed skater and track cycling sprinter.",Seiko Hashimoto 
140,Who is Seyed Hamid Sajjadi Hazaveh?,"Seyed Hamid Sajjadi Hazaveh (Persian: سید حمید سجادی هزاوه‎, born 21 March 1969) is an Iranian retired middle distance and long distance runner.","[[-0.02042911  0.04943122 -0.04256522 ...  0.04367595 -0.06795799
   0.03754726]]","Seyed Hamid Sajjadi Hazaveh (Persian: سید حمید سجادی هزاوه‎, born 21 March 1969) is an Iranian retired middle distance and long distance runner.","Seyed Hamid Sajjadi Hazaveh (Persian: سید حمید سجادی هزاوه‎, born 21 March 1969) is an Iranian retired middle distance and long distance runner."
141,Name an Iranian wrestler who won Olympic bronze medals in 1992 and 1996?,"Amir Reza Khadem Azghadi (Persian: امیررضا خادم ازغدی‎, born February 10, 1970) is an Iranian wrestler who won Olympic bronze medals in 1992 and 1996.","[[-0.02205477  0.04943122  0.13562147 ... -0.01258784  0.030645
   0.12623568]]","Amir Reza Khadem Azghadi (Persian: امیررضا خادم ازغدی‎, born February 10, 1970) is an Iranian wrestler who won Olympic bronze medals in 1992 and 1996.",Amir Reza Khadem Azghadi 
142,"Name an Iranian politician, who served as the minister of economic affairs and finance from 2008 to 2013?","Shamseddin Hosseini (born 1967) is an Iranian politician, who served as the minister of economic affairs and finance from 2008 to 2013.","[[-0.02874381  0.04943122  0.13562147 ...  0.02660163  0.04553307
   0.1214385 ]]","Shamseddin Hosseini (born 1967) is an Iranian politician, who served as the minister of economic affairs and finance from 2008 to 2013.",Shamseddin Hosseini 
143,Name a hockey player turned politician in India and belongs to the Indian National Congress in Punjab?,Pargat Singh (born 5 March 1965) is a hockey player turned politician in India and belongs to the Indian National Congress in Punjab.,[[0.04156103 0.04943122 0.18092413 ... 0.03260453 0.04211278 0.0975024 ]],Pargat Singh (born 5 March 1965) is a hockey player turned politician in India and belongs to the Indian National Congress in Punjab.,Pargat Singh 
144,What is Maharaja Karni Singh ji also known as?,"Maharaja Karni Singh ji  (21 April 1924 – 6 September 1988) also known as  Dr Karni Singh, was from 1950 the last Maharaja of Bikaner State to hold the title of Maharaja of Bikaner, officially, till 1971, when the privy purse and all the royal titles were abolished by the Republic of India.","[[ 0.01484613  0.04943122  0.24244644 ...  0.01689742 -0.05428698
   0.08569597]]","Maharaja Karni Singh ji  (21 April 1924 – 6 September 1988) also known as  Dr Karni Singh, was from 1950 the last Maharaja of Bikaner State to hold the title of Maharaja of Bikaner, officially, till 1971, when the privy purse and all the royal titles were abolished by the Republic of India.",Dr Karni Singh
145,When was Col. Rajyavardhan Singh Rathore born?,"Col. Rajyavardhan Singh Rathore, , (born 29 January 1970) is an Indian politician, Olympic medallist and retired Indian Army officer.","[[ 0.04082499  0.04943122  0.01177901 ... -0.01258784 -0.00751906
   0.03391223]]","Col. Rajyavardhan Singh Rathore, , (born 29 January 1970) is an Indian politician, Olympic medallist and retired Indian Army officer.",29 January 1970
146,When did Manoharsinhji Pradyumansinhji Jadeja die?,Manoharsinhji Pradyumansinhji Jadeja (18 November 1935 – 27 September 2018) was an Indian nobleman and politician.,"[[-0.02874382  0.04943116 -0.16732097 ...  0.0352783  -0.067958
  -0.04156346]]",Thos.,Answer not found!
147,Who is Sachin Ramesh Tendulkar?,Sachin Ramesh Tendulkar ( (listen); born 24 April 1973) is an Indian former international cricketer and a former captain of the Indian national team.,"[[ 0.03716149  0.04943122  0.12766916 ...  0.02753385 -0.06795799
  -0.02248612]]",Sachin Ramesh Tendulkar ( (listen); born 24 April 1973) is an Indian former international cricketer and a former captain of the Indian national team.,Sachin Ramesh Tendulkar ( (listen); born 24 April 1973) is an Indian former international cricketer and a former captain of the Indian national team.
148,Name a retired international footballer and an Arjuna Award Winner (1979)?,"Prasun Banerjee is a retired international footballer and an Arjuna Award Winner (1979) from Kolkata, India.","[[ 0.01666664  0.04943122  0.1409432  ...  0.01714199 -0.0030488
   0.05209902]]","Prasun Banerjee is a retired international footballer and an Arjuna Award Winner (1979) from Kolkata, India.",Prasun Banerjee is a retired international footballer and an Arjuna Award Winner 
149,Name a former cricketer who was the Member of Parliament in the Lok Sabha from Moradabad?,"Mohammad Azharuddin is an Indian politician,  former cricketer who was the Member of Parliament in the Lok Sabha from Moradabad.",[[0.01666664 0.11606012 0.23096628 ... 0.02679717 0.04507904 0.09154125]],"Mohammad Azharuddin is an Indian politician,  former cricketer who was the Member of Parliament in the Lok Sabha from Moradabad.",Mohammad Azharuddin is an Indian politician
150,When was Kirtivardhan Bhagwat Jha Azad born?,Kirtivardhan Bhagwat Jha Azad pronunciation  (born 2 January 1959) is a politician and former cricketer and who played 7 Tests and 25 ODIs for  India between 1980 and 1986.,"[[-0.01890067  0.04943122  0.15475199 ...  0.00454449 -0.01866408
   0.01450676]]",Kirtivardhan Bhagwat Jha Azad pronunciation  (born 2 January 1959) is a politician and former cricketer and who played 7 Tests and 25 ODIs for  India between 1980 and 1986.,2 January 1959
151,Who is the president of the South African Football Association (SAFA)?,"Daniel Alexander ""Danny"" Jordaan (born 3 September 1951) is the president of the South African Football Association (SAFA).",[[0.05962965 0.05505738 0.18591571 ... 0.1326692  0.03928056 0.09243167]],"Daniel Alexander ""Danny"" Jordaan (born 3 September 1951) is the president of the South African Football Association (SAFA).","Daniel Alexander ""Danny"" Jordaan (born 3 September 1951) is the president of the South African Football Association (SAFA)."
152,Name a Canadian politician who has served as the 23rd prime minister of Canada since 2015?,"Justin Pierre James Trudeau  (, listen; French: [ʒystɛ̃ tʁydo]; born December 25, 1971) is a Canadian politician who has served as the 23rd prime minister of Canada since 2015 and has been the leader of the Liberal Party since 2013.",[[0.04194167 0.04943122 0.08729549 ... 0.00690708 0.03781978 0.10696479]],"Stephen Joseph Harper   (born April 30, 1959) is a Canadian economist and politician who served as the 22nd prime minister of Canada for nearly a decade, from February 6, 2006, to November 4, 2015.",Answer not found!
153,Name an Indian politician who was the President of the Indian National Congress from 16 December 2017 to 3 July 2019?,Rahul Gandhi (pronunciation  [ˈraːɦʊl ˈɡaːnd̪ʱiː]) (born 19 June 1970) is an Indian politician who was the President of the Indian National Congress from 16 December 2017 to 3 July 2019.,"[[-0.02874381  0.04943122  0.20506553 ...  0.02314513  0.04175645
   0.09513042]]",Rahul Gandhi (pronunciation  [ˈraːɦʊl ˈɡaːnd̪ʱiː]) (born 19 June 1970) is an Indian politician who was the President of the Indian National Congress from 16 December 2017 to 3 July 2019.,Rahul Gandhi 
154,Name an Indian politician who served as the 7th Deputy Prime Minister of India from 2002 to 2004?,Lal Krishna Advani (born 8 November 1927) is an Indian politician who served as the 7th Deputy Prime Minister of India from 2002 to 2004 under Atal Bihari Vajpayee.,"[[-0.02874381  0.04943122  0.17019515 ...  0.00892822  0.05530331
   0.15081055]]",Winston Raymond Peters  (born 11 April 1945) is a New Zealand politician who has served since 2017 as the Deputy Prime Minister of New Zealand and Minister of Foreign Affairs.,Answer not found!
155,Who was Avul Pakir Jainulabdeen Abdul Kalam?,Avul Pakir Jainulabdeen Abdul Kalam ( (listen); 15 October 1931 – 27 July 2015) was an aerospace scientist who served as the 11th President of India from 2002 to 2007.,"[[-0.01890067  0.06780118  0.12338083 ... -0.01258786  0.08346937
  -0.01123803]]",Avul Pakir Jainulabdeen Abdul Kalam ( (listen); 15 October 1931 – 27 July 2015) was an aerospace scientist who served as the 11th President of India from 2002 to 2007.,Avul Pakir Jainulabdeen Abdul Kalam ( (listen); 15 October 1931 – 27 July 2015) was an aerospace scientist who served as the 11th President of India from 2002 to 2007.
156,"Name an Indian economist, academic, and politician who served as the 13th Prime Minister of India?","Manmohan Singh (Punjabi: [mənˈmoːɦən ˈsɪ́ŋɡ] (listen); born 26 September 1932) is an Indian economist, academic, and politician who served as the 13th Prime Minister of India from 2004 to 2014.","[[-0.02874381  0.04943122  0.18513787 ...  0.0177796   0.03499893
   0.14937378]]","Manmohan Singh (Punjabi: [mənˈmoːɦən ˈsɪ́ŋɡ] (listen); born 26 September 1932) is an Indian economist, academic, and politician who served as the 13th Prime Minister of India from 2004 to 2014.",Manmohan Singh 
157,Name an Indian politician who served as the 13th President of India?,Pranab Mukherjee (born 11 December 1935) is an Indian politician who served as the 13th President of India from 2012 until 2017.,"[[-0.02874381  0.04943122  0.1250428  ... -0.01216744  0.0242589
   0.09248617]]","Ram Nath Kovind (born 1 October 1945) is an Indian politician serving as the 14th President of India, in office since 25 July 2017.",Answer not found!
158,"Name an Indian politician serving as the 14th President of India, in office since 25 July 2017?","Ram Nath Kovind (born 1 October 1945) is an Indian politician serving as the 14th President of India, in office since 25 July 2017.","[[-0.02874381  0.06209338  0.12809989 ...  0.02673218  0.05575884
   0.09319147]]","Ram Nath Kovind (born 1 October 1945) is an Indian politician serving as the 14th President of India, in office since 25 July 2017.",Ram Nath Kovind 
159,Name an Indian politician serving as the 14th and current Prime Minister of India?,Narendra Damodardas Modi (Gujarati pronunciation: [ˈnəɾendrə dɑmodəɾˈdɑs ˈmodiː] (listen); born 17 September 1950) is an Indian politician serving as the 14th and current Prime Minister of India since 2014.,"[[-0.02874381  0.04943122  0.18955417 ... -0.01258784  0.02408214
   0.14937378]]",Scott John Morrison (born 13 May 1968) is an Australian politician serving as the 30th and current Prime Minister of Australia having become the leader of the governing Liberal Party in August 2018.,Answer not found!
160,Who is Pulloli Thomas Chacko?,Pulloli Thomas Chacko was a prominent politician of Travancore and later Kerala.,"[[-0.02042911  0.04943122 -0.14608918 ... -0.00542348  0.0137693
   0.02327738]]",Thos.,Answer not found!
161,"What is Arackaparambil Kurien Antony, who was the 23rd Defence Minister of India better known as?","Arackaparambil Kurien Antony, better known as A. K. Antony (born 28 December 1940) is an Indian politician and attorney who was the 23rd Defence Minister of India and he was also the Chief Minister of Kerala.","[[-0.02042911  0.05798938  0.24215105 ...  0.01733901  0.08749262
   0.11618628]]","Arackaparambil Kurien Antony, better known as A. K. Antony (born 28 December 1940) is an Indian politician and attorney who was the 23rd Defence Minister of India and he was also the Chief Minister of Kerala.",
